No.,latitude,longitude
1,45.00585,-92.87286
2,44.99488,-92.87927
3,44.99225,-92.93276
4,44.9948,-92.87797
5,44.99087,-92.9338
6,45.00315,-92.8781
7,44.9536,-92.9059
8,44.9536,-92.9059
9,44.9536,-92.9059
10,44.9536,-92.9059
11,44.9536,-92.9059
12,44.9536,-92.9059
13,44.9536,-92.9059
14,44.9536,-92.9059
15,45.01226,-92.91957
16,44.9536,-92.9059
17,44.9536,-92.9059
18,44.9536,-92.9059
19,44.9536,-92.9059
20,44.9536,-92.9059
21,44.95291,-92.90742
22,44.95282,-92.90755
23,45.0026,-92.92643
24,45.00089,-92.89822
25,44.98839,-92.93086
26,44.95296,-92.90793
27,45.0118,-92.93054
28,45.00575,-92.93761
29,44.99002,-92.87301
30,44.95306,-92.90752
31,44.95277,-92.90752
32,44.98894,-92.87064
33,44.9902,-92.93027
34,44.95287,-92.90793
35,44.95296,-92.90711
36,45.03293,-92.94587
37,44.98872,-92.93402
38,45.00932,-92.92597
39,45.01049,-92.94378
40,45.00827,-92.9377
41,45.02432,-92.95213
42,45.02692,-92.85804
43,44.96052,-92.926
44,45.01049,-92.86762
45,44.99554,-92.88319
46,44.99554,-92.88319
47,45.02645,-92.85996
48,44.96454,-92.88054
49,44.99554,-92.88319
50,45.02584,-92.85942
51,44.96612,-92.87832
52,44.99554,-92.88319
53,45.02115,-92.92398
54,45.03083,-92.9345
55,44.96028,-92.92611
56,44.96094,-92.93157
57,,
58,44.99914,-92.92667
59,44.99554,-92.88319
60,44.95234,-92.91343
61,45.01318,-92.93686
62,44.99554,-92.88319
63,44.99554,-92.88319
64,44.99554,-92.88319
65,44.95432,-92.92167
66,,
67,44.95196,-92.92287
68,44.96094,-92.93138
69,44.95499,-92.9117
70,45.0341,-92.94249
71,44.98975,-92.92752
72,45.01167,-92.92861
73,44.95406,-92.92174
74,44.99554,-92.88319
75,44.96187,-92.93109
76,44.95413,-92.92075
77,44.95224,-92.92215
78,44.96141,-92.93197
79,44.95413,-92.92075
80,44.95878,-92.90394
81,44.99554,-92.88319
82,44.95226,-92.9216
83,44.95447,-92.92261
84,45.01752,-92.86367
85,45.0041,-92.9406
86,45.01081,-92.86622
87,45.00008,-92.92849
88,44.95401,-92.91079
89,,
90,44.961,-92.93078
91,45.00833,-92.87895
92,44.961,-92.93057
93,44.96091,-92.92058
94,45.03208,-92.93086
95,44.96063,-92.92453
96,45.00852,-92.86359
97,45.00268,-92.9287
98,44.95226,-92.9216
99,45.03097,-92.94402
100,45.02596,-92.85913
101,44.95849,-92.90396
102,44.99554,-92.88319
103,44.99554,-92.88319
104,45.0316,-92.94284
105,44.99238,-92.87577
106,44.9526,-92.93574
107,44.96199,-92.93136
108,44.99554,-92.88319
109,,
110,45.0125,-92.87017
111,44.95828,-92.90396
112,44.9612,-92.93202
113,45.01754,-92.86407
114,45.00709,-92.88117
115,45.01115,-92.90122
116,44.96214,-92.93176
117,45.03043,-92.9077
118,45.01624,-92.86253
119,45.00756,-92.90438
120,44.95223,-92.92176
121,44.95766,-92.90878
122,44.96096,-92.92486
123,45.00852,-92.86359
124,45.00877,-92.88013
125,44.99707,-92.871
126,44.9546,-92.92157
127,45.00751,-92.88166
128,45.01106,-92.89093
129,45.00821,-92.88127
130,,
131,44.95548,-92.91022
132,,
133,,
134,45.00841,-92.87676
135,45.00751,-92.88166
136,45.00849,-92.87874
137,45.0177,-92.86511
138,45.00751,-92.88166
139,,
140,44.97133,-92.92038
141,45.00996,-92.88215
142,45.0115,-92.89603
143,45.02965,-92.86676
144,44.96091,-92.92058
145,45.01036,-92.87885
146,45.0138,-92.90888
147,44.96091,-92.92058
148,45.03068,-92.86579
149,44.99041,-92.914
150,45.01447,-92.93499
151,45.01461,-92.94652
152,44.97013,-92.87963
153,45.01341,-92.90506
154,45.03049,-92.90933
155,44.96542,-92.9099
156,,
157,44.93091,-92.99587
158,44.99237,-93.06999
159,44.99329,-93.00354
160,,
161,44.99326,-93.00354
162,44.93031,-93.00057
163,44.92846,-93.00014
164,44.99274,-93.06934
165,44.92859,-93.00014
166,44.99855,-93.00715
167,44.99271,-93.06979
168,44.9301,-93.00203
169,44.9321,-92.99801
170,44.93095,-92.99819
171,44.99355,-93.0033
172,44.92737,-93
173,,
174,44.99323,-93.06947
175,44.92807,-93.00214
176,45.01071,-93.03835
177,44.92225,-93.00119
178,44.97931,-92.98941
179,44.92885,-93.00344
180,44.9267,-93.00233
181,44.92871,-93.00359
182,45.00494,-93.08777
183,44.93252,-93.00256
184,44.92181,-93.00004
185,45.00628,-93.04678
186,44.90392,-93.00002
187,44.9267,-93.00236
188,45.01386,-93.03358
189,44.93252,-93.00256
190,45.00172,-93.0838
191,44.93252,-93.00256
192,44.97569,-92.99434
193,44.93252,-93.00256
194,45.03633,-93.03292
195,45.03622,-93.03165
196,45.03625,-93.03208
197,45.02597,-93.02237
198,44.92221,-93.00001
199,44.97567,-92.99382
200,44.93095,-92.99819
201,44.92291,-93.00051
202,44.92775,-93.00287
203,44.92124,-93.0001
204,45.03624,-93.03247
205,44.92669,-93.00237
206,44.99946,-93.08152
207,44.99795,-93.0407
208,44.99487,-93.06839
209,44.99429,-93.07084
210,44.99537,-93.06838
211,44.99796,-93.09082
212,44.99338,-93.06842
213,44.99338,-93.06842
214,44.99338,-93.06842
215,45.00847,-93.0389
216,44.97626,-92.99406
217,44.9989,-93.03943
218,44.92109,-93.00196
219,44.92191,-93.00114
220,45.03344,-93.03157
221,,
222,45.00711,-93.08012
223,45.00356,-93.04129
224,44.92246,-92.99995
225,44.9321,-92.99801
226,45.01473,-93.03383
227,44.9959,-93.04301
228,44.99815,-93.0277
229,45.003,-93.07738
230,45.0246,-93.01581
231,44.98035,-92.98785
232,44.91428,-92.98607
233,44.91292,-92.98682
234,45.02672,-93.01997
235,44.99805,-93.06958
236,44.99859,-93.03558
237,44.91411,-92.98638
238,44.91412,-92.98599
239,44.99326,-93.06626
240,44.93095,-92.99819
241,44.97185,-92.99319
242,44.99773,-93.03713
243,44.99879,-93.01391
244,44.99346,-93.05072
245,44.99902,-93.03558
246,44.99438,-93.06627
247,44.99835,-93.09167
248,45.00066,-93.03367
249,44.99535,-93.04627
250,44.99224,-93.02689
251,44.99721,-93.03815
252,45.00939,-93.02949
253,44.92255,-93.00244
254,44.96462,-92.99683
255,45.03233,-93.03237
256,45.03282,-93.03097
257,44.93252,-93.00256
258,44.99361,-93.06896
259,45.03233,-93.03237
260,44.9993,-93.09259
261,45.02756,-93.01448
262,44.99459,-93.06797
263,45.0322,-93.03347
264,44.92129,-93.00076
265,44.99332,-93.09497
266,45.02269,-93.04568
267,45.03184,-93.03298
268,44.93055,-92.99209
269,44.99702,-93.09218
270,44.99879,-93.01391
271,45.01889,-93.05822
272,44.99776,-93.06719
273,45.00213,-93.0694
274,44.99667,-93.02771
275,45.03462,-93.04815
276,45.03184,-93.03127
277,45.03185,-93.03366
278,44.99753,-93.09439
279,45.03197,-93.048
280,44.96572,-92.99857
281,45.03233,-93.03286
282,45.0069,-93.04839
283,45.03147,-93.04808
284,44.96296,-92.98715
285,45.00764,-93.04892
286,44.99431,-93.02771
287,44.99989,-93.09645
288,44.99474,-93.01102
289,45.01668,-93.03757
290,44.91454,-92.98589
291,45.03226,-93.03421
292,45.0337,-93.03234
293,45.03358,-93.03331
294,45.03359,-93.03291
295,45.03286,-93.03187
296,45.03462,-93.04815
297,45.03344,-93.03157
298,45.03366,-93.03434
299,45.00667,-93.01792
300,44.99819,-93.0098
301,45.03462,-93.04815
302,45.03286,-93.03138
303,44.99457,-93.09637
304,45.01951,-93.02682
305,44.9943,-93.09393
306,45.00175,-93.02986
307,45.01903,-93.04742
308,44.96924,-92.98945
309,45.00401,-93.04907
310,44.96464,-92.99959
311,44.99017,-93.01267
312,44.97689,-92.9922
313,44.99656,-93.08117
314,44.9565,-92.98922
315,44.9945,-93.09555
316,44.94312,-92.99062
317,44.99531,-93.0408
318,44.9689,-92.98589
319,45.02134,-93.04872
320,45.01929,-93.02641
321,45.0081,-93.08013
322,45.00272,-93.04956
323,45.02047,-93.02795
324,44.99644,-93.09536
325,45.03286,-93.03187
326,44.94772,-92.99159
327,45.03231,-93.04847
328,45.00371,-93.04851
329,44.97197,-92.98958
330,44.90542,-93.00115
331,45.01903,-93.02682
332,44.99473,-93.01122
333,44.99513,-93.04813
334,44.99749,-93.00943
335,44.99747,-93.09536
336,44.99406,-93.09392
337,44.97685,-92.99892
338,44.99589,-93.04856
339,44.99708,-93.03943
340,45.03462,-93.04815
341,44.91439,-92.98682
342,44.99542,-93.04406
343,45.00115,-93.09469
344,44.94196,-92.99188
345,44.99544,-93.09478
346,44.96979,-92.99206
347,44.94435,-92.98683
348,44.99537,-93.02771
349,45.01304,-93.03868
350,44.99545,-93.0328
351,45.03484,-93.02951
352,44.91432,-92.98684
353,44.99834,-93.09191
354,45.0267,-93.03047
355,44.9616,-92.98901
356,45.03462,-93.04815
357,,
358,45.03531,-93.0295
359,44.976,-92.99319
360,45.00163,-93.093
361,44.94396,-92.98672
362,45.00968,-93.02269
363,45.03462,-93.04815
364,44.91454,-92.98599
365,44.9941,-93.07611
366,45.00045,-93.09708
367,44.97992,-93.00029
368,45.00559,-93.0164
369,44.9924,-93.01684
370,45.03527,-92.99936
371,45.00758,-93.02922
372,44.94208,-92.98802
373,44.9952,-93.04813
374,45.02269,-93.04568
375,44.99748,-93.02771
376,45.00856,-93.0378
377,45.03233,-93.03138
378,45.0198,-93.02659
379,45.01664,-93.05657
380,44.95401,-92.97342
381,44.97847,-92.9884
382,45.00831,-93.07737
383,44.99786,-93.0407
384,44.9941,-93.01557
385,45.00851,-93.04688
386,45.01071,-93.0377
387,44.91453,-92.98628
388,45.02209,-93.04578
389,44.95718,-92.98933
390,44.97227,-92.98587
391,44.9132,-92.98682
392,44.99528,-93.01893
393,44.99308,-93.04325
394,45.02834,-93.00814
395,45.0048,-93.08753
396,45.00394,-93.0503
397,44.97956,-92.98843
398,45.00936,-93.08208
399,44.97219,-92.99707
400,44.99855,-93.00715
401,44.99807,-93.09326
402,45.03212,-92.99483
403,45.0279,-93.012
404,44.99944,-93.08089
405,44.99517,-93.01557
406,45.02011,-93.06058
407,44.98971,-92.99967
408,45.02837,-93.0078
409,45.00668,-93.05255
410,44.94389,-92.99352
411,45.03124,-93.00617
412,44.97277,-92.99652
413,45.02837,-93.00283
414,45.00534,-93.03926
415,44.9435,-92.988
416,45.01828,-93.02657
417,44.97961,-92.98663
418,45.00379,-93.08373
419,44.99384,-93.10159
420,45.00342,-93.0456
421,44.99386,-93.01146
422,44.94775,-92.9895
423,44.92648,-92.99355
424,44.96563,-92.99732
425,45.01929,-93.02711
426,44.94705,-92.99216
427,45.02038,-93.02498
428,45.00893,-93.03667
429,44.99436,-93.01159
430,45.03273,-93.03475
431,44.99834,-93.0981
432,44.92623,-92.99181
433,44.92572,-92.99044
434,45.00806,-93.0864
435,44.99882,-93.09438
436,45.0267,-93.03047
437,44.99668,-93.088
438,45.02923,-93.00688
439,45.0315,-93.00714
440,45.00669,-93.03197
441,45.02033,-93.04772
442,45.03074,-92.99838
443,45.0111,-93.01692
444,45.01808,-93.04271
445,44.99334,-93.01556
446,45.03461,-93.03064
447,44.97551,-92.98899
448,44.99595,-93.04047
449,44.99796,-93.09082
450,44.99711,-93.09801
451,44.94793,-92.9895
452,45.00008,-93.03708
453,44.99322,-93.08427
454,44.92337,-92.99871
455,45.00672,-93.02116
456,44.99208,-93.08439
457,45.00366,-93.04982
458,44.99168,-92.99912
459,44.92533,-92.98985
460,44.94852,-93.49811
461,44.99929,-93.02793
462,45.00719,-93.0465
463,45.00506,-93.05023
464,44.99441,-93.01923
465,45.01677,-93.05861
466,45.0011,-93.03066
467,44.99618,-93.09254
468,45.02886,-93.00291
469,45.00165,-93.04323
470,44.99503,-93.04813
471,44.91127,-92.99183
472,44.94702,-92.99557
473,45.03493,-93.05174
474,45.03135,-93.01095
475,45.03311,-92.99279
476,45.00513,-93.05015
477,45.00384,-93.0717
478,45.00116,-93.09271
479,44.99668,-93.0848
480,44.99699,-93.0964
481,44.91108,-92.99758
482,44.92731,-92.99324
483,44.99221,-93.00974
484,44.96389,-92.99965
485,45.03012,-93.00069
486,45.03509,-93.0018
487,45.02882,-93.00379
488,44.9448,-92.99416
489,44.94702,-92.99657
490,44.97687,-92.98605
491,45.03475,-93.04916
492,45.00295,-93.03535
493,44.9713,-92.99147
494,44.99433,-93.05366
495,45.00487,-93.07875
496,45.00133,-93.02762
497,44.91304,-93.0036
498,44.91786,-93.00265
499,45.00704,-93.0725
500,45.00764,-93.04066
501,45.03133,-93.01072
502,44.99573,-93.09556
503,45.00756,-93.02693
504,45.00265,-93.03559
505,45.03482,-93.04903
506,45.01931,-93.02571
507,45.00706,-93.04454
508,44.92336,-92.99942
509,45.0267,-93.03047
510,45.00951,-93.0829
511,45.0048,-93.06991
512,44.99529,-93.05093
513,45.02889,-93.00323
514,44.9284,-92.99055
515,45.02888,-93.00232
516,45.03018,-92.99922
517,45.03108,-92.99686
518,45.00244,-93.03194
519,44.99573,-93.09373
520,44.99564,-93.07823
521,44.91926,-93.00133
522,45.02906,-92.99908
523,44.9783,-93.00098
524,,
525,45.02373,-93.06257
526,45.03172,-92.99506
527,45.03519,-93.0502
528,45.00783,-93.04374
529,45.03295,-93.00026
530,44.97197,-92.98958
531,45.02953,-93.00789
532,45.00896,-93.03958
533,44.99168,-93.00367
534,44.96384,-92.99847
535,45.0301,-93.00391
536,44.90728,-93.00416
537,44.91011,-92.99977
538,44.97632,-92.99874
539,45.03325,-92.99846
